nr,type,value,idvisit
2,pageidaction,6,1
2,pageidaction,10,2
2,pageidaction,NA,3
2,pageidaction,10,4
2,pageidaction,123,5
2,pageidaction,11,6
2,pageidaction,NA,7
2,pageidaction,NA,8
2,pageidaction,NA,9
2,pageidaction,NA,10
2,pageidaction,NA,11
2,pageidaction,10,12
2,pageidaction,7,13
2,pageidaction,NA,14
2,pageidaction,16,15
2,pageidaction,214,16
2,pageidaction,254,17
2,pageidaction,NA,18
2,pageidaction,254,19
2,pageidaction,NA,20
2,pageidaction,NA,21
2,pageidaction,2,22
2,pageidaction,NA,23
2,pageidaction,251,24
2,pageidaction,256,25
2,pageidaction,NA,26
2,pageidaction,NA,27
2,pageidaction,NA,28
2,pageidaction,NA,29
2,pageidaction,NA,30
2,pageidaction,NA,31
2,pageidaction,NA,32
2,pageidaction,NA,33
2,pageidaction,NA,34
2,pageidaction,NA,35
2,pageidaction,263,36
2,pageidaction,NA,37
2,pageidaction,NA,38
2,pageidaction,252,39
2,pageidaction,344,40
2,pageidaction,366,41
2,pageidaction,323,42
2,pageidaction,NA,43
2,pageidaction,NA,44
2,pageidaction,NA,45
2,pageidaction,3,46
2,pageidaction,NA,47
2,pageidaction,NA,48
2,pageidaction,368,49
2,pageidaction,256,50
2,pageidaction,NA,51
2,pageidaction,6,52
2,pageidaction,NA,53
2,pageidaction,2,54
2,pageidaction,NA,55
2,pageidaction,NA,56
2,pageidaction,3,57
2,pageidaction,NA,58
2,pageidaction,NA,59
2,pageidaction,NA,60
2,pageidaction,324,61
2,pageidaction,6,62
2,pageidaction,NA,63
2,pageidaction,NA,64
2,pageidaction,6,65
2,pageidaction,NA,66
2,pageidaction,10,67
2,pageidaction,NA,68
2,pageidaction,16,69
2,pageidaction,NA,70
2,pageidaction,344,71
2,pageidaction,NA,72
2,pageidaction,NA,73
2,pageidaction,325,74
2,pageidaction,NA,75
2,pageidaction,NA,76
2,pageidaction,3,77
2,pageidaction,3,77
2,pageidaction,344,78
2,pageidaction,344,78
2,pageidaction,NA,79
2,pageidaction,NA,79
2,pageidaction,344,80
2,pageidaction,344,80
2,pageidaction,NA,81
2,pageidaction,NA,81
2,pageidaction,NA,82
2,pageidaction,NA,82
2,pageidaction,343,83
2,pageidaction,343,83
2,pageidaction,NA,84
2,pageidaction,NA,84
2,pageidaction,3,85
2,pageidaction,3,85
2,pageidaction,3,86
2,pageidaction,3,86
2,pageidaction,343,87
2,pageidaction,343,87
2,pageidaction,343,88
2,pageidaction,343,88
2,pageidaction,2,89
2,pageidaction,2,89
2,pageidaction,343,90
2,pageidaction,343,90
2,pageidaction,343,91
2,pageidaction,343,91
2,pageidaction,3,92
2,pageidaction,3,92
2,pageidaction,343,93
2,pageidaction,343,93
2,pageidaction,344,94
2,pageidaction,344,94
2,pageidaction,3,95
2,pageidaction,3,95
2,pageidaction,NA,96
2,pageidaction,NA,96
2,pageidaction,3,97
2,pageidaction,3,97
2,pageidaction,2,98
2,pageidaction,2,98
2,pageidaction,NA,99
2,pageidaction,NA,99
2,pageidaction,344,100
2,pageidaction,344,100
2,pageidaction,343,101
2,pageidaction,343,101
2,pageidaction,3,102
2,pageidaction,3,102
2,pageidaction,343,103
2,pageidaction,343,103
2,pageidaction,343,104
2,pageidaction,343,104
2,pageidaction,343,105
2,pageidaction,343,105
2,pageidaction,343,106
2,pageidaction,343,106
2,pageidaction,NA,107
2,pageidaction,NA,107
2,pageidaction,343,108
2,pageidaction,343,108
2,pageidaction,NA,109
2,pageidaction,NA,109
2,pageidaction,343,110
2,pageidaction,343,110
2,pageidaction,3,111
2,pageidaction,3,111
2,pageidaction,344,112
2,pageidaction,344,112
2,pageidaction,343,113
2,pageidaction,343,113
2,pageidaction,339,114
2,pageidaction,339,114
2,pageidaction,343,115
2,pageidaction,343,115
2,pageidaction,343,116
2,pageidaction,343,116
2,pageidaction,343,117
2,pageidaction,343,117
2,pageidaction,NA,118
2,pageidaction,NA,118
2,pageidaction,343,119
2,pageidaction,343,119
2,pageidaction,343,120
2,pageidaction,343,120
2,pageidaction,344,121
2,pageidaction,344,121
2,pageidaction,3,122
2,pageidaction,3,122
2,pageidaction,343,123
2,pageidaction,343,123
2,pageidaction,344,124
2,pageidaction,344,124
2,pageidaction,343,125
2,pageidaction,343,125
2,pageidaction,344,126
2,pageidaction,344,126
2,pageidaction,344,127
2,pageidaction,344,127
2,pageidaction,343,128
2,pageidaction,343,128
2,pageidaction,344,129
2,pageidaction,344,129
2,pageidaction,344,130
2,pageidaction,344,130
2,pageidaction,2,131
2,pageidaction,2,131
2,pageidaction,344,132
2,pageidaction,344,132
2,pageidaction,3,133
2,pageidaction,3,133
2,pageidaction,NA,134
2,pageidaction,NA,134
2,pageidaction,344,135
2,pageidaction,344,135
2,pageidaction,3,136
2,pageidaction,3,136
2,pageidaction,3,137
2,pageidaction,3,137
2,pageidaction,247,138
2,pageidaction,247,138
2,pageidaction,NA,139
2,pageidaction,NA,139
2,pageidaction,NA,140
2,pageidaction,NA,140
2,pageidaction,10,141
2,pageidaction,10,141
2,pageidaction,NA,142
2,pageidaction,NA,142
2,pageidaction,48,143
2,pageidaction,48,143
2,pageidaction,NA,144
2,pageidaction,NA,144
2,pageidaction,343,145
2,pageidaction,343,145
2,pageidaction,344,146
2,pageidaction,344,146
2,pageidaction,263,147
2,pageidaction,263,147
2,pageidaction,NA,148
2,pageidaction,NA,148
2,pageidaction,263,149
2,pageidaction,263,149
2,pageidaction,344,150
2,pageidaction,344,150
2,pageidaction,NA,151
2,pageidaction,NA,151
2,pageidaction,NA,152
2,pageidaction,NA,152
2,pageidaction,344,153
2,pageidaction,344,153
2,pageidaction,344,154
2,pageidaction,344,154
2,pageidaction,344,155
2,pageidaction,344,155
2,pageidaction,344,156
2,pageidaction,344,156
2,pageidaction,NA,157
2,pageidaction,NA,157
2,pageidaction,324,158
2,pageidaction,324,158
2,pageidaction,NA,159
2,pageidaction,NA,159
2,pageidaction,339,160
2,pageidaction,339,160
2,pageidaction,368,161
2,pageidaction,NA,162
2,pageidaction,263,163
2,pageidaction,343,164
2,pageidaction,NA,165
2,pageidaction,343,166
2,pageidaction,NA,167
2,pageidaction,NA,168
2,pageidaction,NA,169
2,pageidaction,343,170
2,pageidaction,6,171
2,pageidaction,344,172
2,pageidaction,NA,173
2,pageidaction,NA,174
2,pageidaction,NA,175
2,pageidaction,344,176
2,pageidaction,NA,177
2,pageidaction,2,178
2,pageidaction,NA,179
2,pageidaction,344,180
2,pageidaction,343,181
2,pageidaction,263,182
2,pageidaction,NA,183
2,pageidaction,344,184
2,pageidaction,344,185
2,pageidaction,3,186
2,pageidaction,NA,187
2,pageidaction,NA,188
2,pageidaction,11,189
2,pageidaction,344,190
2,pageidaction,6,191
2,pageidaction,NA,192
2,pageidaction,NA,193
2,pageidaction,NA,194
2,pageidaction,769,195
2,pageidaction,NA,196
2,pageidaction,NA,197
2,pageidaction,NA,198
2,pageidaction,122,199
2,pageidaction,NA,200
2,pageidaction,330,201
2,pageidaction,NA,202
2,pageidaction,324,203
2,pageidaction,3,204
2,pageidaction,NA,205
2,pageidaction,325,206
2,pageidaction,324,207
2,pageidaction,344,208
2,pageidaction,NA,209
2,pageidaction,NA,210
2,pageidaction,324,211
2,pageidaction,NA,212
2,pageidaction,NA,213
2,pageidaction,NA,214
2,pageidaction,NA,215
2,pageidaction,325,216
2,pageidaction,NA,217
2,pageidaction,3,218
2,pageidaction,NA,219
2,pageidaction,NA,220
2,pageidaction,324,221
2,pageidaction,NA,222
2,pageidaction,2,223
2,pageidaction,NA,224
2,pageidaction,NA,225
2,pageidaction,NA,226
2,pageidaction,NA,227
2,pageidaction,2,228
2,pageidaction,NA,229
2,pageidaction,NA,230
2,pageidaction,324,231
2,pageidaction,NA,232
2,pageidaction,262,233
2,pageidaction,NA,234
2,pageidaction,NA,235
2,pageidaction,NA,236
2,pageidaction,324,237
2,pageidaction,NA,238
2,pageidaction,3,239
2,pageidaction,NA,240
2,pageidaction,325,241
2,pageidaction,324,242
2,pageidaction,323,243
2,pageidaction,NA,244
2,pageidaction,325,245
2,pageidaction,NA,246
2,pageidaction,324,247
2,pageidaction,NA,248
2,pageidaction,324,249
2,pageidaction,769,250
2,pageidaction,NA,251
2,pageidaction,324,252
2,pageidaction,769,253
2,pageidaction,769,254
2,pageidaction,324,255
2,pageidaction,325,256
2,pageidaction,325,257
2,pageidaction,325,258
2,pageidaction,769,259
2,pageidaction,324,260
2,pageidaction,NA,261
2,pageidaction,343,262
2,pageidaction,NA,263
2,pageidaction,769,264
2,pageidaction,NA,265
2,pageidaction,769,266
2,pageidaction,NA,267
2,pageidaction,768,268
2,pageidaction,NA,269
2,pageidaction,NA,270
2,pageidaction,NA,271
2,pageidaction,2,272
2,pageidaction,NA,273
2,pageidaction,NA,274
2,pageidaction,324,275
2,pageidaction,324,276
2,pageidaction,324,277
2,pageidaction,330,278
2,pageidaction,344,279
2,pageidaction,325,280
2,pageidaction,344,281
2,pageidaction,324,282
2,pageidaction,NA,283
2,pageidaction,263,284
2,pageidaction,344,285
2,pageidaction,NA,286
2,pageidaction,325,287
2,pageidaction,343,288
2,pageidaction,7,289
2,pageidaction,325,290
2,pageidaction,NA,291
2,pageidaction,324,292
2,pageidaction,2,293
2,pageidaction,2,293
2,pageidaction,NA,294
2,pageidaction,NA,294
2,pageidaction,NA,295
2,pageidaction,NA,295
2,pageidaction,769,296
2,pageidaction,769,296
2,pageidaction,10,297
2,pageidaction,10,297
2,pageidaction,3,298
2,pageidaction,3,298
2,pageidaction,344,299
2,pageidaction,344,299
2,pageidaction,769,300
2,pageidaction,769,300
2,pageidaction,NA,301
2,pageidaction,NA,301
2,pageidaction,NA,302
2,pageidaction,NA,302
2,pageidaction,343,303
2,pageidaction,343,303
2,pageidaction,344,304
2,pageidaction,344,304
2,pageidaction,NA,305
2,pageidaction,NA,305
2,pageidaction,769,306
2,pageidaction,769,306
2,pageidaction,251,307
2,pageidaction,251,307
2,pageidaction,NA,308
2,pageidaction,NA,308
2,pageidaction,769,309
2,pageidaction,769,309
2,pageidaction,769,310
2,pageidaction,769,310
2,pageidaction,NA,311
2,pageidaction,NA,311
2,pageidaction,325,312
2,pageidaction,325,312
2,pageidaction,NA,313
2,pageidaction,NA,313
2,pageidaction,NA,314
2,pageidaction,NA,314
2,pageidaction,325,315
2,pageidaction,325,315
2,pageidaction,2,316
2,pageidaction,2,316
2,pageidaction,NA,317
2,pageidaction,NA,317
2,pageidaction,NA,318
2,pageidaction,NA,318
2,pageidaction,768,319
2,pageidaction,NA,320
2,pageidaction,325,321
2,pageidaction,325,322
2,pageidaction,NA,323
2,pageidaction,NA,324
2,pageidaction,324,325
2,pageidaction,3,326
2,pageidaction,2,327
2,pageidaction,343,328
2,pageidaction,1745,329
2,pageidaction,769,330
2,pageidaction,768,331
2,pageidaction,NA,332
2,pageidaction,263,333
2,pageidaction,263,334
2,pageidaction,NA,335
2,pageidaction,NA,336
2,pageidaction,263,337
2,pageidaction,769,338
2,pageidaction,NA,339
2,pageidaction,325,340
2,pageidaction,NA,341
2,pageidaction,343,342
2,pageidaction,323,343
2,pageidaction,3,344
2,pageidaction,3,345
2,pageidaction,768,346
2,pageidaction,NA,347
2,pageidaction,3,348
2,pageidaction,344,349
2,pageidaction,323,350
2,pageidaction,343,351
2,pageidaction,NA,352
2,pageidaction,NA,353
2,pageidaction,344,355
2,pageidaction,343,356
2,pageidaction,NA,359
2,pageidaction,323,360
2,pageidaction,344,361
2,pageidaction,324,362
2,pageidaction,324,363
2,pageidaction,324,364
2,pageidaction,2,365
2,pageidaction,360,366
2,pageidaction,NA,367
2,pageidaction,324,368
2,pageidaction,NA,369
2,pageidaction,3,370
2,pageidaction,344,371
2,pageidaction,NA,372
2,pageidaction,324,373
2,pageidaction,325,374
2,pageidaction,325,375
2,pageidaction,2,376
2,pageidaction,344,377
2,pageidaction,NA,378
2,pageidaction,2,379
2,pageidaction,324,380
2,pageidaction,325,381
2,pageidaction,263,382
2,pageidaction,325,383
2,pageidaction,3,384
2,pageidaction,343,385
2,pageidaction,263,386
2,pageidaction,325,387
2,pageidaction,NA,388
2,pageidaction,NA,389
2,pageidaction,NA,390
2,pageidaction,2,391
2,pageidaction,263,392
2,pageidaction,768,393
2,pageidaction,263,394
2,pageidaction,324,395
2,pageidaction,6,396
2,pageidaction,NA,397
2,pageidaction,2,398
2,pageidaction,325,399
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2723
2,url,NA,2724
2,url,NA,2725
2,url,NA,2726
2,url,NA,2727
2,url,NA,2728
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2729
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2730
2,url,NA,2731
2,url,https://hans.th-nuernberg.de/video-player?uuid=b742a6ae-0409-4cb3-9a43-4a12f5e84f8e&evalId=8c9c0c88-6566-4992-9f45-71db53ec84f3&role=everybody,2732
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2733
2,url,NA,2734
2,url,NA,2735
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2736
2,url,NA,2737
2,url,NA,2738
2,url,NA,2739
2,url,NA,2740
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2741
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2742
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2743
2,url,NA,2744
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2745
2,url,NA,2746
2,url,NA,2747
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2748
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2749
2,url,NA,2750
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2751
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2752
2,url,NA,2753
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2754
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2755
2,url,https://hans.th-nuernberg.de/video-player?uuid=61796133-8227-438b-a620-d5e29e5fbca9&evalId=none&role=everybody,2756
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2758
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbd1dde2-47d7-425e-964c-997ef2aa0960&evalId=none&role=everybody,2759
2,url,NA,2760
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2761
2,url,https://hans.th-nuernberg.de/video-player?uuid=52fdc278-060e-4477-986c-9eb4abda2472&evalId=none&role=everybody,2762
2,url,NA,2763
2,url,NA,2764
2,url,https://hans.th-nuernberg.de/video-player?uuid=52fdc278-060e-4477-986c-9eb4abda2472&evalId=none&role=everybody,2765
2,url,NA,2766
2,url,NA,2767
2,url,https://hans.th-nuernberg.de/video-player?uuid=b78e63d6-6a71-4a9c-a59e-45ea8ce55f13&evalId=none&role=everybody,2768
2,url,NA,2769
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2770
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2771
2,url,https://hans.th-nuernberg.de/video-player?uuid=d55eb925-030c-4e3c-96aa-14f09ee35cba&evalId=none&role=everybody,2772
2,url,NA,2773
2,url,https://hans.th-nuernberg.de/video-player?uuid=b78e63d6-6a71-4a9c-a59e-45ea8ce55f13&evalId=none&role=everybody,2774
2,url,NA,2775
2,url,NA,2776
2,url,https://hans.th-nuernberg.de/video-player?uuid=1af4fee4-7999-4579-8eb0-33210b13ce4e&evalId=none&role=everybody,2777
2,url,https://hans.th-nuernberg.de/video-player?uuid=d55eb925-030c-4e3c-96aa-14f09ee35cba&evalId=none&role=everybody,2778
2,url,https://hans.th-nuernberg.de/video-player?uuid=afc55220-dca0-48de-b386-065647811d38&evalId=none&role=everybody,2779
2,url,https://hans.th-nuernberg.de/video-player?uuid=1af4fee4-7999-4579-8eb0-33210b13ce4e&evalId=none&role=everybody,2780
2,url,NA,2781
2,url,https://hans.th-nuernberg.de/video-player?uuid=3d1aecc2-6642-41c5-b17b-75d06526ee61&evalId=none&role=everybody,2782
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2783
2,url,https://hans.th-nuernberg.de/video-player?uuid=1c165034-681f-483a-8fe2-a315b1b29559&evalId=none&role=everybody,2784
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2785
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2786
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2787
2,url,NA,2788
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2789
2,url,NA,2790
2,url,NA,2791
2,url,NA,2792
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2793
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2794
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2795
2,url,NA,2796
2,url,NA,2797
2,url,NA,2798
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2799
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2800
2,url,NA,2801
